main_category,usd_goal_real,overfunded_amt,overfunded_count,project_count,pct_project_overfunded
Art,4410.09,2561.81,11060,11510,96.0
Comics,5397.35,5988.31,5792,5842,99.0
Crafts,3013.43,2616.27,2052,2115,97.0
Dance,4601.09,592.92,2218,2338,95.0
Design,15408.84,47449.69,10446,10550,99.0
Fashion,9080.96,11205.6,5462,5593,98.0
Film & Video,11145.19,2806.68,22614,23623,96.0
Food,11633.96,5715.43,5925,6085,97.0
Games,14857.22,39371.53,12430,12518,99.0
Journalism,8148.65,2196.3,959,1012,95.0
Music,5736.98,1601.15,23337,24197,96.0
Photography,6490.6,3621.09,3193,3305,97.0
Publishing,5897.85,3539.06,11899,12300,97.0
Technology,26286.35,66799.41,6356,6434,99.0
Theater,5198.04,775.09,6151,6534,94.0
