day_of_week,hour_of_day,mPlayed
0,0,9.0
0,1,4.0
0,2,5.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,4.0
0,12,7.0
0,13,4.0
0,14,8.0
0,15,9.0
0,16,5.0
0,17,2.0
0,18,10.0
0,19,12.0
0,20,9.0
0,21,1.0
0,22,4.0
0,23,4.0
1,0,15.0
1,1,12.0
1,2,5.0
1,3,0.0
1,4,4.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,1.0
1,9,0.0
1,10,0.0
1,11,4.0
1,12,6.0
1,13,0.0
1,14,5.0
1,15,5.0
1,16,4.0
1,17,4.0
1,18,16.0
1,19,19.0
1,20,14.0
1,21,7.0
1,22,6.0
1,23,3.0
2,0,10.0
2,1,18.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,3.0
2,12,4.0
2,13,8.0
2,14,1.0
2,15,7.0
2,16,17.0
2,17,4.0
2,18,6.0
2,19,9.0
2,20,5.0
2,21,5.0
2,22,4.0
2,23,4.0
3,0,12.0
3,1,17.0
3,2,4.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,5.0
3,12,5.0
3,13,3.0
3,14,4.0
3,15,5.0
3,16,6.0
3,17,8.0
3,18,9.0
3,19,10.0
3,20,10.0
3,21,9.0
3,22,7.0
3,23,4.0
4,0,6.0
4,1,9.0
4,2,12.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,3.0
4,12,9.0
4,13,3.0
4,14,4.0
4,15,7.0
4,16,6.0
4,17,1.0
4,18,9.0
4,19,7.0
4,20,2.0
4,21,2.0
4,22,5.0
4,23,3.0
5,0,7.0
5,1,5.0
5,2,9.0
5,3,5.0
5,4,2.0
5,5,1.0
5,6,1.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,2.0
5,13,1.0
5,14,4.0
5,15,5.0
5,16,2.0
5,17,0.0
5,18,0.0
5,19,2.0
5,20,1.0
5,21,1.0
5,22,4.0
5,23,12.0
6,0,8.0
6,1,5.0
6,2,0.0
6,3,2.0
6,4,2.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,3.0
6,13,2.0
6,14,0.0
6,15,6.0
6,16,2.0
6,17,2.0
6,18,2.0
6,19,12.0
6,20,1.0
6,21,1.0
6,22,1.0
6,23,13.0
