Station_cleaned,Line,total_mins_delay,mins_delayed_per_week,delays_per_week,X,Y
COLLEGE STATION,1,2161,10.57832168,3.602797203,0,-20
DAVISVILLE STATION,1,2692,13.17762238,6.838461538,0,40
DOWNSVIEW STATION,1,3260,15.95804196,9.613986014,-50,80
DUNDAS STATION,1,1726,8.448951049,4.185314685,0,-30
DUPONT STATION,1,1276,6.246153846,3.994405594,-30,10
EGLINTON STATION,1,4969,24.32377622,9.535664336,0,50
EGLINTON WEST STATION,1,1600,7.832167832,5.208391608,-50,30
FINCH STATION,1,4156,20.34405594,12.33076923,0,100
GLENCAIRN STATION,1,690,3.377622378,3.157342657,-50,40
KING STATION,1,1298,6.353846154,2.927272727,0,-50
LAWRENCE STATION,1,2097,10.26503497,6.226573427,0,60
LAWRENCE WEST STATION,1,1004,4.914685315,3.769230769,-50,50
MUSEUM STATION,1,1129,5.526573427,2.467132867,-20,-10
NORTH YORK CTR STATION,1,785,3.842657343,2.897902098,0,90
OSGOODE STATION,1,578,2.829370629,2.002097902,-20,-40
QUEEN STATION,1,1423,6.965734266,3.362937063,0,-40
QUEEN'S PARK STATION,1,842,4.121678322,2.584615385,-20,-20
ROSEDALE STATION,1,1265,6.192307692,3.152447552,0,10
SHEPPARD STATION,1,4648,22.75244755,11.95384615,0,80
SPADINA BD STATION,1,2466,12.07132867,13.98041958,-30,0
ST ANDREW STATION,1,859,4.204895105,2.246853147,-20,-50
ST CLAIR STATION,1,1542,7.548251748,4.337062937,0,30
ST CLAIR WEST STATION,1,2775,13.58391608,7.171328671,-40,20
ST PATRICK STATION,1,680,3.328671329,2.295804196,-20,-30
SUMMERHILL STATION,1,1192,5.834965035,2.227272727,0,20
UNION STATION,1,2060,10.08391608,4.567132867,-10,-60
WELLESLEY STATION,1,1335,6.534965035,3.26993007,0,-10
WILSON STATION,1,3008,14.72447552,10.61748252,-50,70
YORK MILLS STATION,1,2221,10.87202797,5.208391608,0,70
YORKDALE STATION,1,852,4.170629371,3.920979021,-50,60
BATHURST STATION,2,1274,6.236363636,3.529370629,-40,0
BAY STATION,2,1201,5.879020979,2.79020979,-10,0
BLOOR STATION,2,3617,17.70559441,18.31258741,0,0
BROADVIEW STATION,2,1844,9.026573427,3.96013986,30,0
CASTLE FRANK STATION,2,1763,8.63006993,2.256643357,20,0
CHESTER STATION,2,1537,7.523776224,3.176923077,40,0
CHRISTIE STATION,2,1882,9.212587413,4.542657343,-50,0
COXWELL STATION,2,2154,10.54405594,6.30979021,80,0
DONLANDS STATION,2,1547,7.572727273,3.827972028,60,0
DUFFERIN STATION,2,1580,7.734265734,2.599300699,-70,0
DUNDAS WEST STATION,2,1796,8.791608392,4.606293706,-90,0
GREENWOOD STATION,2,2296,11.23916084,6.877622378,70,0
HIGH PARK STATION,2,1058,5.179020979,2.472027972,-110,0
ISLINGTON STATION,2,2505,12.26223776,9.241958042,-160,0
JANE STATION,2,2168,10.61258741,7.46993007,-130,0
KEELE STATION,2,1693,8.287412587,10.7006993,-100,0
KENNEDY BD STATION,2,10214,49.9986014,21.05384615,130,30
KIPLING STATION,2,4099,20.06503497,17.7006993,-170,0
LANSDOWNE STATION,2,1393,6.818881119,2.369230769,-80,0
MAIN STREET STATION,2,1274,6.236363636,3.069230769,100,0
OLD MILL STATION,2,1560,7.636363636,4.655244755,-140,0
OSSINGTON STATION,2,2091,10.23566434,4.204895105,-60,0
PAPE STATION,2,1264,6.187412587,3.588111888,50,0
ROYAL YORK STATION,2,1549,7.582517483,4.151048951,-150,0
RUNNYMEDE STATION,2,994,4.865734266,1.904195804,-120,0
SHERBOURNE STATION,2,1687,8.258041958,2.932167832,10,0
ST GEORGE BD STATION,2,5479,26.82027972,13.58881119,-20,0
UNKNOWN,5,3872,18.95384615,18.2979021,-100,-40
VICTORIA PARK STATION,2,2739,13.40769231,9.065734266,110,10
WARDEN STATION,2,3574,17.4951049,10.55874126,120,20
WOODBINE STATION,2,1751,8.571328671,4.337062937,90,0
ELLESMERE STATION,3,922,4.513286713,0.998601399,130,50
LAWRENCE EAST STATION,3,1795,8.786713287,1.458741259,130,40
MCCOWAN STATION,3,4753,23.26643357,4.527972028,160,50
MIDLAND STATION,3,1284,6.285314685,1.18951049,140,50
SCARB CTR STATION,3,3212,15.72307692,2.202797203,150,50
BAYVIEW STATION,4,1010,4.944055944,1.595804196,10,80
BESSARION STATION,4,559,2.736363636,0.93986014,20,80
DON MILLS STATION,4,2083,10.1965035,3.690909091,40,80
LESLIE STATION,4,918,4.493706294,1.644755245,30,80
